condition,seed,task_name,kind,auc_token_accuracy,auc_exact_match
baseline,0,A00_copy,atomic,0.8813291841483043,0.6207269143423746
baseline,0,A01_reverse,atomic,0.6680593958244627,0.1109113117323439
baseline,0,A02_substitute,atomic,0.20720051630603162,0.0
baseline,0,A03_copy,atomic,0.8826329357590347,0.6297828572799385
baseline,0,A04_reverse,atomic,0.667301230576793,0.11030558309877175
baseline,0,A05_substitute,atomic,0.20874648570143137,6.597044524053223e-05
baseline,0,A06_copy,atomic,0.8821581409721728,0.6260845141376663
baseline,0,A07_reverse,atomic,0.6676707353534419,0.11206479497185261
baseline,0,C00_reverse_then_substitute_06_04,composite,0.6666671814208235,0.10985478505629478
baseline,0,C01_substitute_then_reverse_03_04,composite,0.6682586382289046,0.1138399996801433
baseline,0,C02_copy_then_substitute_00_07,composite,0.6678193315392705,0.11167796827021495
baseline,0,C03_reverse_then_substitute_06_01,composite,0.6672702425091833,0.11212376855168885
baseline,0,C04_substitute_then_reverse_07_01,composite,0.882097678809992,0.6272080108111566
baseline,0,C05_copy_then_substitute_06_07,composite,0.6680319042639957,0.11691762090583419
baseline,0,C06_reverse_then_substitute_02_00,composite,0.20937687180628436,0.0
baseline,0,C07_substitute_then_reverse_04_03,composite,0.6686414653566898,0.11610998272773797
baseline,0,K00_shortcut_for_A00_copy,shortcut,0.8825029883497493,0.6291821264073695
baseline,0,K01_shortcut_for_A07_reverse,shortcut,0.8815554175430579,0.623717574526612
baseline,0,K02_shortcut_for_A04_reverse,shortcut,0.8813408431115665,0.6224611374104401
baseline,0,S00_surface_rotate,surface_control,0.15825893738218408,0.0
baseline,0,S01_surface_rotate,surface_control,0.43962239417625915,0.0005377590839303992
baseline,0,S02_surface_rotate,surface_control,0.12466798486052692,0.0
baseline,0,U00_unrelated_substitute,unrelated,0.036861153915257565,0.0
baseline,0,U01_unrelated_substitute,unrelated,0.20990097028524554,0.0
baseline,0,U02_unrelated_substitute,unrelated,0.037524356636883124,0.0
baseline,1,A00_copy,atomic,0.8761115232616007,0.6064023317553736
baseline,1,A01_reverse,atomic,0.6667706355406782,0.1203160983879222
baseline,1,A02_substitute,atomic,0.2909579933070489,0.00033484998720573184
baseline,1,A03_copy,atomic,0.875713700987208,0.6054967374616171
baseline,1,A04_reverse,atomic,0.6654468916867504,0.11757332714943705
baseline,1,A05_substitute,atomic,0.2885537335442755,0.00022290014073694984
baseline,1,A06_copy,atomic,0.8754529834037671,0.6053927840327533
baseline,1,A07_reverse,atomic,0.6654985396643317,0.12156853729529171
baseline,1,C00_reverse_then_substitute_06_04,composite,0.6665297450293751,0.11982831691402251
baseline,1,C01_substitute_then_reverse_03_04,composite,0.6669263958744133,0.12307286335721597
baseline,1,C02_copy_then_substitute_00_07,composite,0.665515033421445,0.11622293212640737
baseline,1,C03_reverse_then_substitute_06_01,composite,0.6659806539726842,0.11700558149948823
baseline,1,C04_substitute_then_reverse_07_01,composite,0.8755852578421378,0.606020502814739
baseline,1,C05_copy_then_substitute_06_07,composite,0.6670744989816568,0.11968638050153531
baseline,1,C06_reverse_then_substitute_02_00,composite,0.2903127850125331,0.00021390417093142272
baseline,1,C07_substitute_then_reverse_04_03,composite,0.6662941821369447,0.12053100211105425
baseline,1,K00_shortcut_for_A00_copy,shortcut,0.8763852319589596,0.6070820272517912
baseline,1,K01_shortcut_for_A07_reverse,shortcut,0.8767005983900237,0.6100207107215967
baseline,1,K02_shortcut_for_A04_reverse,shortcut,0.8763813978526265,0.6095249328300921
baseline,1,S00_surface_rotate,surface_control,0.1595300357815492,0.0001769207395087001
baseline,1,S01_surface_rotate,surface_control,0.39526426486152405,0.0001929135747185261
baseline,1,S02_surface_rotate,surface_control,0.06219313887187195,0.0
baseline,1,U00_unrelated_substitute,unrelated,0.04208614667705969,0.0
baseline,1,U01_unrelated_substitute,unrelated,0.2924836452007999,0.0003338504350051177
baseline,1,U02_unrelated_substitute,unrelated,0.04341721730525991,0.0
baseline,2,A00_copy,atomic,0.8753715204627862,0.597858159544524
baseline,2,A01_reverse,atomic,0.6435955206414603,0.09985126663254862
baseline,2,A02_substitute,atomic,0.19987579397790461,6.597044524053223e-05
baseline,2,A03_copy,atomic,0.8757166971138916,0.5968436140609007
baseline,2,A04_reverse,atomic,0.6436591596536132,0.09806306774564995
baseline,2,A05_substitute,atomic,0.20018382355744285,0.0
baseline,2,A06_copy,atomic,0.8759384286259144,0.5996023781345957
baseline,2,A07_reverse,atomic,0.6421263414609533,0.10026907945240532
baseline,2,C00_reverse_then_substitute_06_04,composite,0.6427182446261572,0.10029506780962129
baseline,2,C01_substitute_then_reverse_03_04,composite,0.6411439500970264,0.0960429727482088
baseline,2,C02_copy_then_substitute_00_07,composite,0.6450636977693991,0.10224319504861822
baseline,2,C03_reverse_then_substitute_06_01,composite,0.6409730253361753,0.09763425985158648
baseline,2,C04_substitute_then_reverse_07_01,composite,0.8753405371213765,0.5966327085465711
baseline,2,C05_copy_then_substitute_06_07,composite,0.6439288686093481,0.10245809877175026
baseline,2,C06_reverse_then_substitute_02_00,composite,0.20028244415841456,6.597044524053223e-05
baseline,2,C07_substitute_then_reverse_04_03,composite,0.6428446886677794,0.10137458418628455
baseline,2,K00_shortcut_for_A00_copy,shortcut,0.8759277662740851,0.5987617547338793
baseline,2,K01_shortcut_for_A07_reverse,shortcut,0.8756060788080005,0.5990226378582395
baseline,2,K02_shortcut_for_A04_reverse,shortcut,0.8756700550018216,0.5964038110926305
baseline,2,S00_surface_rotate,surface_control,0.21700145656999845,0.0
baseline,2,S01_surface_rotate,surface_control,0.2549814432678304,0.0005437563971340839
baseline,2,S02_surface_rotate,surface_control,0.15488012043707752,0.0
baseline,2,U00_unrelated_substitute,unrelated,0.03735160076156155,0.0
baseline,2,U01_unrelated_substitute,unrelated,0.19853439648657611,0.00010395342886386899
baseline,2,U02_unrelated_substitute,unrelated,0.03667190505006753,0.0
baseline,3,A00_copy,atomic,0.8752800580914853,0.5964997681038895
baseline,3,A01_reverse,atomic,0.6295916261389745,0.10395142975946776
baseline,3,A02_substitute,atomic,0.2490051209239314,0.0001929135747185261
baseline,3,A03_copy,atomic,0.8754218292528403,0.5965937260107472
baseline,3,A04_reverse,atomic,0.6299441370563992,0.10377850722876152
baseline,3,A05_substitute,atomic,0.24945242199694076,0.0001929135747185261
baseline,3,A06_copy,atomic,0.8747201429502686,0.5936050649309109
baseline,3,A07_reverse,atomic,0.6293095848051223,0.10674617771238486
baseline,3,C00_reverse_then_substitute_06_04,composite,0.6311014496941527,0.10726194664790174
baseline,3,C01_substitute_then_reverse_03_04,composite,0.629278259700738,0.10815654586745138
baseline,3,C02_copy_then_substitute_00_07,composite,0.6300182716488197,0.10560069089048106
baseline,3,C03_reverse_then_substitute_06_01,composite,0.6292391143188246,0.09988025364636643
baseline,3,C04_substitute_then_reverse_07_01,composite,0.8759774138041397,0.5979841031218014
baseline,3,C05_copy_then_substitute_06_07,composite,0.6304675668378874,0.10874628166581371
baseline,3,C06_reverse_then_substitute_02_00,composite,0.252111559277143,6.597044524053223e-05
baseline,3,C07_substitute_then_reverse_04_03,composite,0.6294150364374553,0.11020562787871034
baseline,3,K00_shortcut_for_A00_copy,shortcut,0.8754654717712664,0.5966117179503583
baseline,3,K01_shortcut_for_A07_reverse,shortcut,0.8765853071983755,0.6030978121801432
baseline,3,K02_shortcut_for_A04_reverse,shortcut,0.8743338158788844,0.591017224283521
baseline,3,S00_surface_rotate,surface_control,0.28270052508579735,0.0
baseline,3,S01_surface_rotate,surface_control,0.44733560975057624,0.00040881685005117707
baseline,3,S02_surface_rotate,surface_control,0.23364483631342772,0.0
baseline,3,U00_unrelated_substitute,unrelated,0.03489753363967158,0.0
baseline,3,U01_unrelated_substitute,unrelated,0.24911706662472782,0.0007276740020470829
baseline,3,U02_unrelated_substitute,unrelated,0.03513526021523883,0.0
baseline,4,A00_copy,atomic,0.8697190486331268,0.579679303671955
baseline,4,A01_reverse,atomic,0.6465263741687627,0.11130613485158648
baseline,4,A02_substitute,atomic,0.1500424524290657,0.00019791133572159673
baseline,4,A03_copy,atomic,0.8698853090817267,0.5802510475307062
baseline,4,A04_reverse,atomic,0.6486697448198298,0.10951893551688843
baseline,4,A05_substitute,atomic,0.1499449966581178,0.00025888401995905836
baseline,4,A06_copy,atomic,0.8698598199229431,0.5762278499232344
baseline,4,A07_reverse,atomic,0.6481109985732831,0.10769975051177072
baseline,4,C00_reverse_then_substitute_06_04,composite,0.6492098405758947,0.11002470893039919
baseline,4,C01_substitute_then_reverse_03_04,composite,0.6460414237915676,0.10461513242067554
baseline,4,C02_copy_then_substitute_00_07,composite,0.6481331580918103,0.1103165781729785
baseline,4,C03_reverse_then_substitute_06_01,composite,0.6485061589552198,0.11156301976714432
baseline,4,C04_substitute_then_reverse_07_01,composite,0.868723830769645,0.5741707714943706
baseline,4,C05_copy_then_substitute_06_07,composite,0.6486524153470291,0.11097828172978505
baseline,4,C06_reverse_then_substitute_02_00,composite,0.14904190048560148,6.597044524053223e-05
baseline,4,C07_substitute_then_reverse_04_03,composite,0.6485146444058284,0.11006669012282498
baseline,4,K00_shortcut_for_A00_copy,shortcut,0.8697055593464703,0.5761738741044012
baseline,4,K01_shortcut_for_A07_reverse,shortcut,0.8691887871182106,0.5768395758700102
baseline,4,K02_shortcut_for_A04_reverse,shortcut,0.8695547907673272,0.5749924034032753
baseline,4,S00_surface_rotate,surface_control,0.20684200890758814,0.0
baseline,4,S01_surface_rotate,surface_control,0.367200502872223,0.00043180655066530195
baseline,4,S02_surface_rotate,surface_control,0.1550505405269037,0.0
baseline,4,U00_unrelated_substitute,unrelated,0.0319989988056775,0.0
baseline,4,U01_unrelated_substitute,unrelated,0.1505967038917139,0.00026388178096212894
baseline,4,U02_unrelated_substitute,unrelated,0.031212517964613624,0.0
